week,gini_index,arp,aplt
1,0.5739035087719299,0.33536155998916667,0.27368421052631575
2,0.5836049543676662,0.32850539291217246,0.32881355932203393
3,0.5945991561181435,0.31904516866781013,0.21833333333333318
4,0.605041338979633,0.3360897956727152,0.2982456140350877
5,0.5399054982817869,0.3049849914236706,0.375
6,0.6185507246376811,0.299493043643987,0.2666666666666668
7,0.5612010597586106,0.3265108301088994,0.22093023255813948
8,0.6597415367326872,0.3221949957799014,0.28253968253968265
9,0.6568623481781376,0.29336488982715403,0.2826923076923076
10,0.5830218068535825,0.31505145797598616,0.21111111111111105
11,0.666845671908963,0.30684586490652893,0.33164556962025327
12,0.5575757575757576,0.2914431623265243,0.3295454545454547
13,0.568244766505636,0.31277873070325896,0.2870370370370371
14,0.5769096209912536,0.32339062554695974,0.2714285714285714
15,0.599523052464229,0.3234133790737565,0.277027027027027
16,0.6145156626506024,0.3089855132364794,0.28915662650602425
17,0.6505154639175258,0.29686384497705265,0.2108108108108107
18,0.5795424836601307,0.3206775300171526,0.27666666666666667
19,0.5628955223880597,0.3070633112311511,0.29253731343283573
20,0.5967671472258628,0.2927632116311361,0.3936507936507937
21,0.5590740740740741,0.31774614065180096,0.322
22,0.5573887018331463,0.2844831967473477,0.32037037037037036
23,0.6565397565397565,0.30464441219158195,0.2948717948717949
24,0.5942487419122933,0.2977939042089985,0.2907692307692307
25,0.5707737440410707,0.29573724668064294,0.3518518518518519
